ALCOHOL_NAME,CATEGORY,COUNTRY_OF_ORIGIN,COM,ABV,VOLUME,PRICE
위스키 로우 스트레이트 버번,위스키,미국,럭스 로우 디스틸러리,40,750,24900
산토리 가쿠빈,위스키,일본,산토리,40,700,36000
"탐나불린 셰리 캐스크 ",위스키,스코틀랜드,PAEZ,40,700,45700
글렌드로낙 12년,위스키,스코틀랜드,글렌드로낙 디스틸러리,43,700,85000
짐빔 화이트,위스키,미국,짐빔 디스틸러리,40,750,23000
잭 다니엘스 애플,위스키,미국,잭 다니엘스 디스틸러리,35,700,34000
노아스 밀,위스키,미국,윌렛 디스틸러리,57.15,750,165000
벤리악 12년,위스키,스코틀랜드,벤리악 디스틸러리,46,700,87900
더 글렌리벳 12년,위스키,스코틀랜드,시바스 브라더스,40,700,57000
발렌타인 17년,위스키,스코틀랜드,발렌타인 17년,40,700,122800
조니워커 그린15년,위스키,스코틀랜드,조니워커,43,700,72900
조니워커 블루,위스키,스코틀랜드,조니워커,40,700,285000
글렌피딕 15년,위스키,스코틀랜드,글렌피딕,40,700,106900
잭 다니엘스,위스키,미국,잭 다니엘스 디스틸러리,40,700,41000
글렌라씨,위스키,스코틀랜드,토마틴,40,700,18500
"임페리얼 12년 ",위스키,스코틀랜드,시바스 브라더스,35,450,29900
조니워커 골드,위스키,스코틀랜드,조니워커,40,750,68000
커티 삭,위스키,스코틀랜드,베리 브로스 앤 러드,50,700,34800
라가불린 16년,위스키,스코틀랜드,라가불린 디스틸러리,43,700,139000
제임슨 스탠다드,위스키,아일랜드,제임슨 위스키,40,700,29000
